NumberCiphertexts,ShuffleAndProofTime,DecryptAndProofTime
100,0.08765163400000009,0.014402417999999972
216,0.17988001900000006,0.03096002199999992
464,0.379365062,0.06657231100000005
1000,0.8114557999999998,0.14283813499999987
2156,1.7726272289999998,0.308438432
4640,3.793231641000001,0.6635966249999985
10000,8.263605100999998,1.431442705000002
21544,18.036807545000002,3.1275549169999977
46416,39.404547189,6.6515519969999986
100000,85.57340009700002,14.515115741999978
215444,184.709604199,31.281209386
