NumberVoters,TallyTime,VotesAgainst,VotesFor,Winner
100,0.0002762290000000167,48,52,for
215,0.000525238000000039,99,116,for
464,0.0011033099999999685,233,231,against
1000,0.0023353239999999165,516,484,against
2154,0.0049478259999999885,1059,1095,for
4641,0.010609722000000099,2340,2301,against
10000,0.02299092199999997,4913,5087,for
21544,0.04918444099999997,10791,10753,against
46416,0.10567117200000009,23328,23088,against
100000,0.2292288100000004,49760,50240,for
215443,0.4975428260000001,107570,107873,for
