Nr_Voters,Total_Revotes,Extra_Padding,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
4,12034,37746,17.89811,15.10101,0.01171,0.00575,0.0006836,33.11919
20,5831,44076,17.76185,15.11191,0.12905,0.02834,0.00933144,33.15779
50,4623,45298,17.82804,15.07582,0.26121,0.05486,0.01795525,33.36011
100,3839,45884,17.74969,15.03066,0.52321,0.10666,0.03586,33.57023
200,3440,46277,17.61567,15.48436,1.04452,0.22057,0.07121344,34.55933
500,2927,46552,22.41444,19.29543,2.38572,0.48041,0.15019052,44.88597
1000,2579,46142,22.3254,19.20662,4.53027,0.91342,0.28081602,47.41502
2000,2429,45520,22.42367,19.28886,6.00273,1.13522,0.30784318,49.31374
5000,2215,42780,22.45431,19.33365,10.43179,2.13031,0.38670634,54.8834
10000,1997,37896,22.4097,19.28647,15.0162,3.06583,0.28971593,60.19886
20000,1533,28012,22.2318,19.12276,26.15839,5.4163,0.25896882,73.28531
50000,0,0,22.43028,19.28223,57.61861,12.04935,5.88e-06,111.38129
