Nr_Voters,Total_Revotes,Extra_Padding,Dummies,Shuffle,Decrypt,Reencrypt,FinalShuffle,FinalOpen,FullFilter
100,0,0,0.0112,0.13718,0.01526,0.10308,0.06996,7.99e-06,0.33678
215,0,0,0.02873,0.2741,0.0328,0.27274,0.17884,3.986e-05,0.78744
464,0,0,0.06098,0.61097,0.09026,0.52991,0.32533,6.311e-05,1.61787
1000,0,0,0.12799,1.33617,0.19523,1.30771,0.80531,0.0001154,3.77325
2154,0,0,0.27865,2.9092,0.41916,2.81562,1.73383,0.0002338,8.15832
4641,0,0,0.59843,6.28057,0.90229,6.06496,3.74031,0.00049039,17.59043
10000,0,0,1.29279,13.65227,1.94584,13.07242,8.07538,0.00025668,38.04629
21544,0,0,2.78238,30.20106,4.19784,28.16199,17.56396,0.00052352,82.92384
46416,0,0,6.01981,67.07399,9.06886,60.73495,38.48831,0.00103266,181.42277
100000,0,0,13.01263,147.8645,19.55744,130.83607,83.66818,0.0032294,395.01992
215443,0,0,27.55204,286.59057,32.99366,275.31413,181.97648,0.00512025,804.60504
