NumberCiphertexts,ShuffleAndProofTime,DecryptAndProofTime
100,0.07317359899999998,0.013990236000000045
216,0.157158766,0.03013063700000007
464,0.3376434690000001,0.05349262399999999
1000,0.639396107,0.11283126599999971
2156,1.4932772749999996,0.3081843840000005
4640,3.187751681999999,0.5454125269999999
10000,7.512865015999999,1.3933172780000014
21544,17.312302898000002,3.1399345549999964
46416,39.416125904000005,6.66616453799999
100000,73.662908688,11.316705438000014
215444,147.15949520200002,24.90402891299999
